"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",0.84505993672686
"105",0.847518178421353
"106",0.851260742727806
"107",0.864880581984917
"108",0.862801858224196
"109",0.858078970237634
"110",0.855848915307839
"111",0.859158759920861
"112",0.860115174609153
"113",0.860606961449843
"114",0.859534752708755
"115",0.856059948449587
"116",0.857211787893274
"117",0.856286467582167
"118",0.858326609252251
"119",0.858782931785102
"120",0.856489177711048
"121",0.85481054188725
"122",0.844478524508534
"123",0.843815083975046
"124",0.844330199125929
"125",0.842271879687525
"126",0.839840107898525
"127",0.8344312843879
"128",0.833448685162734
"129",0.833915111735502
"130",0.825568970986326
"131",0.825512075007874
"132",0.830337542912483
"133",0.828689534741842
"134",0.823322878335048
"135",0.823090572774397
"136",0.816937518546717
"137",0.814778110472465
"138",0.821143792496821
"139",0.819585352764584
"140",0.826915580420431
"141",0.820966886034067
"142",0.822800333019264
"143",0.824809085798913
"144",0.846295378793947
"145",0.897017118740803
"146",0.900214808437544
"147",0.896755144180258
"148",0.894063487595051
"149",0.893758239328807
"150",0.89245984876806
"151",0.890875246705714
"152",0.896382114570518
"153",0.905387130246955
"154",0.907144268255937
"155",0.904953839016176
"156",0.903078687222082
"157",0.905981805523375
"158",0.909136772019133
"159",0.909817699024274
"160",0.908133678037587
"161",0.907728669846607
"162",0.903843233562506
"163",0.904238938656362
"164",0.90660674625748
"165",0.907320188715731
"166",0.907958164761747
"167",0.906227338460256
"168",0.905292281373213
"169",0.905887184127302
"170",0.907319944974957
"171",0.906125505980711
"172",0.906052322228167
"173",0.906858165475954
"174",0.907135053193764
"175",0.909955631529448
"176",0.91118262797781
"177",0.911649611392176
"178",0.911745412101083
"179",0.909709638762422
"180",0.906989079766477
"181",0.904898359773735
"182",0.905154286565646
"183",0.904451813438292
"184",0.909919689426313
"185",0.914276126111187
"186",0.914134935053084
"187",0.914444626582569
"188",0.914927122145989
"189",0.915986536635417
"190",0.915243034467678
"191",0.913180292437619
"192",0.913113512032003
"193",0.912402494818262
"194",0.911809141793817
"195",0.912032172891365
"196",0.906416367688684
"197",0.908462440963423
"198",0.908525837577032
"199",0.909319024217548
"200",0.909811974159031
"201",0.910042963758678
"202",0.909854601425664
"203",0.910223442195187
"204",0.910314329419941
"205",0.909870112146223
"206",0.909482231006665
"207",0.9082779531865
"208",0.908428203997152
"209",0.907791703854983
"210",0.908132324689317
"211",0.906179360841643
"212",0.907628464257956
"213",0.910920621798481
"214",0.91174917435305
"215",0.911073806776382
"216",0.910643509940795
"217",0.910782544761151
"218",0.910897892028842
"219",0.911346031098894
"220",0.909997751086121
"221",0.910505161471031
"222",0.909628222976368
"223",0.907957526277757
"224",0.905805826096012
"225",0.906270434405416
"226",0.907802191586762
"227",0.909484915212711
"228",0.909164638120729
"229",0.910855657909786
"230",0.911542437034012
"231",0.91173970008084
"232",0.913060401335483
"233",0.913056257580123
"234",0.915183059743526
"235",0.916401766778447
"236",0.91732780692202
"237",0.916724436779803
"238",0.917043222557035
"239",0.915525020801419
"240",0.917989392312058
"241",0.919584699037862
"242",0.918951142655185
"243",0.918771016472877
"244",0.91735270774966
"245",0.918911753986092
"246",0.918897191898649
"247",0.918832390112681
"248",0.914010451349139
"249",0.885780565312055
"250",0.882711437722513
"251",0.88735179080196
"252",0.886785984432517
"253",0.887593577645553
"254",0.889813683927725
"255",0.891339767144176
"256",0.883494822160214
"257",0.879588108657142
"258",0.875807612276496
"259",0.879004972597234
"260",0.882413507071764
"261",0.874380099405229
"262",0.87135266890068
"263",0.868440328028166
"264",0.871948768252951
"265",0.869413795826968
"266",0.874617181079152
"267",0.872252607893883
"268",0.861319259196196
"269",0.859483737143558
"270",0.852182385370825
"271",0.860335331657322
"272",0.858553728608117
"273",0.858681983687411
"274",0.855423923390995
"275",0.858043742019576
"276",0.85874336972745
"277",0.859763559856352
"278",0.85173164993247
"279",0.849896576518699
"280",0.843773302011477
"281",0.843455181483543
"282",0.841372691369952
"283",0.847309069507863
"284",0.854378594337118
"285",0.854043219016397
"286",0.852730671090426
"287",0.856258455054781
"288",0.853806936634895
"289",0.849099787476997
"290",0.836431693919422
"291",0.839579819264623
"292",0.841955696565567
"293",0.842800622603842
"294",0.847433206826313
"295",0.852512711310782
"296",0.851690572578751
"297",0.853479447395606
"298",0.855808723954287
"299",0.85792289295588
"300",0.873630778856122
"301",0.865455309211234
"302",0.875342527579114
"303",0.876229834285297
"304",0.862219880090319
"305",0.861760273800002
"306",0.862157940565695
"307",0.864344884371255
"308",0.86734520746925
"309",0.876153788763054
"310",0.876247041528774
"311",0.881022056077339
"312",0.883141582903275
"313",0.883339958125024
"314",0.880601521555672
"315",0.879644216599988
"316",0.876588298840584
"317",0.875330866461641
"318",0.875424799961797
"319",0.873386027486068
"320",0.874372080255093
"321",0.873628431441488
"322",0.868338951213939
"323",0.869541520770082
"324",0.87057009010931
"325",0.869454483001036
"326",0.870352321562534
"327",0.874040457465706
"328",0.876042563816885
"329",0.873379184764098
"330",0.876510105242124
"331",0.871426387518449
"332",0.869659796919673
"333",0.868564994625534
"334",0.869165682770603
"335",0.867405576133723
"336",0.866340861352018
"337",0.867122002888101
"338",0.864691663537578
"339",0.863001647289092
"340",0.857717464426328
"341",0.857490518413117
"342",0.856594867037546
"343",0.855097598019932
"344",0.853683822420926
"345",0.852111479196152
"346",0.851232513018545
"347",0.85137739735129
"348",0.849468608641485
"349",0.846392241318555
"350",0.848137335643531
"351",0.848317401513394
"352",0.847455044939554
"353",0.846544830423449
"354",0.846891594663054
"355",0.847594738958035
"356",0.84894617977797
"357",0.845540071835454
"358",0.846117096341775
"359",0.847352136520259
"360",0.848034333585035
"361",0.844474637750631
"362",0.844269734080729
"363",0.84433850449777
"364",0.843965008598263
"365",0.845186209288286
"366",0.850370887283381
"367",0.8492313674303
"368",0.84952234986142
"369",0.85293587880969
"370",0.84512427507327
"371",0.843785380964753
"372",0.8486030856612
"373",0.845886780522596
"374",0.849759531682885
"375",0.847067600178119
"376",0.848471166377292
"377",0.840723529169249
"378",0.841497035274322
"379",0.843121298414849
"380",0.842280202815724
"381",0.843537453443163
"382",0.852888884409964
"383",0.845293825327618
"384",0.845176345641544
"385",0.846710908958726
"386",0.848549056894865
"387",0.84892439767355
"388",0.848578159700437
"389",0.850964809455564
"390",0.851159919914121
"391",0.844501135083471
"392",0.845093133429706
"393",0.845346863075576
"394",0.853531383264491
"395",0.850310979543817
"396",0.841616468061044
"397",0.840711407370658
"398",0.833894717499188
"399",0.830558839675969
"400",0.830969213081655
"401",0.830062942246311
"402",0.827203947162121
"403",0.812955483403602
"404",0.813502861617242
"405",0.815292740660631
"406",0.795106790324549
"407",0.794204866410155
"408",0.818122733086653
"409",0.816628257055226
"410",0.816261126798978
"411",0.807252106655447
"412",0.798541104717245
"413",0.763375584798651
"414",0.757953552899889
"415",0.745772975098374
"416",0.726036012686827
"417",0.726023361076329
"418",0.730330068032303
"419",0.728065334673778
"420",0.730696179311073
"421",0.736059118800772
"422",0.737027033118913
"423",0.74181190590501
"424",0.740939986450753
"425",0.73589450316797
"426",0.751350940747379
"427",0.750778107263699
"428",0.749502760430367
"429",0.752348175363492
"430",0.75555966053018
"431",0.753465381886273
"432",0.742974913330112
"433",0.759797643687814
"434",0.771666216498903
"435",0.762237501412386
"436",0.764702065061106
"437",0.752723131714
"438",0.751256815781012
"439",0.7536968276505
"440",0.743039297687511
"441",0.741256206450276
"442",0.733536042617944
"443",0.717586424859244
"444",0.718750972656449
"445",0.723348063829038
"446",0.718905081902014
"447",0.73865605910438
"448",0.758117222797285
"449",0.754901653995131
"450",0.755366629583405
"451",0.753497329615247
"452",0.75598262192584
"453",0.769403957090962
"454",0.771640328118355
"455",0.768863436945246
"456",0.773281039150357
"457",0.784241940241328
"458",0.796708733625465
"459",0.793806182857591
"460",0.80098596137987
"461",0.806465035612071
"462",0.801971752329609
"463",0.801152989769372
"464",0.801825511062812
"465",0.841463647088344
"466",0.841589959094617
"467",0.858434306455718
"468",0.881855157543738
"469",0.880436571848803
"470",0.878173434780671
"471",0.884612155901547
"472",0.884996402594751
"473",0.884892022622046
"474",0.899122350650357
"475",0.906072907185813
"476",0.906725115521615
"477",0.910391776441901
"478",0.9107757432437
"479",0.913201697844527
"480",0.912774444608825
"481",0.92201207493673
"482",0.92455519357421
"483",0.922668471316685
"484",0.923289195220106
"485",0.923139856129763
"486",0.923740504450178
"487",0.921787352617557
"488",0.921584830231934
"489",0.921977754249593
"490",0.92158665546377
"491",0.921807748877283
"492",0.92182978930058
"493",0.919938256618509
"494",0.919082459843591
"495",0.919081360178871
"496",0.91911260904755
"497",0.91847071969124
"498",0.916383434359591
"499",0.916299318486726
"500",0.915646993642487
"501",0.915920656575035
"502",0.919104765618265
"503",0.925565104777458
"504",0.925855796337459
"505",0.916694701806682
"506",0.915895281754134
"507",0.915922697732561
"508",0.915668949164774
"509",0.908716255988466
"510",0.916035504029212
"511",0.915251507203973
"512",0.915592609763113
"513",0.914904830282608
"514",0.915201671660963
"515",0.919979286027917
"516",0.920128190311963
"517",0.920100637247651
"518",0.923929124916215
"519",0.924963342383939
"520",0.923134082548063
"521",0.926254482178112
"522",0.926542779396087
"523",0.929983157393521
"524",0.917594167462894
"525",0.903844560880399
"526",0.904351792176416
"527",0.874495094680086
"528",0.873249832863762
"529",0.871517522652475
"530",0.868937508680396
"531",0.85031716215301
"532",0.847771802889514
"533",0.848331353050895
"534",0.846462349901715
"535",0.84680354675167
"536",0.849915700256676
"537",0.847504760481318
"538",0.852533861188418
"539",0.852787216378903
"540",0.84939914166699
"541",0.849460346794138
"542",0.849606536204954
"543",0.849651543670416
"544",0.849382118808491
"545",0.848619218268591
"546",0.848007042514406
"547",0.848601773289062
"548",0.845469839043468
"549",0.845402917530679
"550",0.845255965220567
"551",0.844483257448474
"552",0.840325762638073
"553",0.840194153139091
"554",0.840541794419882
"555",0.841484524657833
"556",0.841677736203637
"557",0.84106091523265
"558",0.841955902360243
"559",0.843040331958755
"560",0.842653074380647
"561",0.845730673850395
"562",0.844648424901483
"563",0.843420959799891
"564",0.843255732582315
"565",0.825161388893336
"566",0.825867865678529
"567",0.827145338394721
"568",0.826556756019054
"569",0.821114186987981
"570",0.82234640134312
"571",0.821265860335786
"572",0.805623540434275
"573",0.805520236702781
"574",0.80580448471715
"575",0.802975784551623
"576",0.800741069546523
"577",0.800151550818964
"578",0.79934752261593
"579",0.790883775134299
"580",0.788533996144697
"581",0.788607728419756
"582",0.787516255947618
"583",0.786517288362004
"584",0.78947481252697
"585",0.788409285818961
"586",0.78919013906592
"587",0.781685209250255
"588",0.778239564929561
"589",0.77869247706737
"590",0.77858609115821
"591",0.77948690617126
"592",0.779859489663897
"593",0.779587010264639
"594",0.779948504890674
"595",0.781133415943849
"596",0.781425482779455
"597",0.781871661656576
"598",0.781083238947335
"599",0.782253211196034
"600",0.779748730401678
"601",0.779672711505731
"602",0.778343458657872
"603",0.773109582764625
"604",0.774936294620623
"605",0.773935753866735
"606",0.774583566324947
"607",0.772042482529361
"608",0.772805377724362
"609",0.781471457409238
"610",0.781340434163608
"611",0.783504729111484
"612",0.784304580277243
"613",0.781708563706633
"614",0.773627019279218
"615",0.773914901855956
"616",0.772477665970873
"617",0.770693117257029
"618",0.769698117774733
"619",0.764208034239263
"620",0.767468817195126
"621",0.767693048202534
"622",0.767675983119881
"623",0.769788693018262
"624",0.76878625171108
"625",0.770321275624514
"626",0.76776659274715
"627",0.765036156615678
"628",0.765952111318933
"629",0.7806127639197
"630",0.782910811640296
"631",0.774220894043605
"632",0.785308397659147
"633",0.792434969790908
"634",0.793573485535766
"635",0.792690594322236
"636",0.799768341643151
"637",0.796928450478875
"638",0.781892062184578
"639",0.782357303542866
"640",0.780669457489608
"641",0.792602959082098
"642",0.778943112994168
"643",0.777040597408966
"644",0.774988507046209
"645",0.777683221853222
"646",0.7752068562797
"647",0.782693031841295
"648",0.785110071653984
"649",0.786136394546836
"650",0.79126354825833
"651",0.792289598375174
"652",0.800394027917679
"653",0.799917519381296
"654",0.800828020404146
"655",0.802666274239835
"656",0.804572377118517
"657",0.803539700316798
"658",0.802989981528481
"659",0.802802266229427
"660",0.803861601613499
"661",0.805353246538315
"662",0.808225227645364
"663",0.806062517238147
"664",0.807389244274314
"665",0.798864801485934
"666",0.798139194943527
"667",0.806758215856512
"668",0.808672822428385
"669",0.840857800113795
"670",0.834562423610901
"671",0.829567744715934
"672",0.829369858425825
"673",0.829497988480969
"674",0.828280375914449
"675",0.823361453876728
"676",0.823204893227025
"677",0.829555265268319
"678",0.830575160090143
"679",0.828056742676274
"680",0.830834993551463
"681",0.830413774685559
"682",0.832344901309146
"683",0.835175742074046
"684",0.836799760385693
"685",0.84179270127735
"686",0.841566183936913
"687",0.837458942822203
"688",0.839421187304089
"689",0.840508637939601
"690",0.837990567252194
"691",0.866612709964126
"692",0.861439707656245
"693",0.859889498844002
"694",0.858178210818539
"695",0.854823701413598
"696",0.854420487218861
"697",0.854211611438841
"698",0.854061082275192
"699",0.856320916563223
"700",0.852443390538562
"701",0.842836383794584
"702",0.84542150618245
"703",0.840115000012799
"704",0.843618455211789
"705",0.843454372916617
"706",0.845277627690511
"707",0.846196828402487
"708",0.847355115065462
"709",0.850342865955806
"710",0.850078815148578
"711",0.851595401370017
"712",0.852172833716784
"713",0.853373687106547
"714",0.854760459153846
"715",0.853409755118185
"716",0.848415350524834
"717",0.848506118073905
"718",0.849982511262351
"719",0.846323168181393
"720",0.847272998672546
"721",0.851141805589996
"722",0.849878893283924
"723",0.851431913562023
"724",0.850010647271846
"725",0.846861602297503
"726",0.84565372116401
"727",0.845918667272652
"728",0.846266277722189
"729",0.841737460351823
"730",0.842638417542289
"731",0.841523207306382
"732",0.839393287004484
"733",0.839465458305653
"734",0.841751045147021
"735",0.844063185525811
"736",0.826459162463498
"737",0.826263189958272
"738",0.82810121041787
"739",0.864305815985648
"740",0.867848679295485
"741",0.915576353319103
"742",0.919575114551437
"743",0.919424617239517
"744",0.915736686823465
"745",0.902777997515501
"746",0.902883786447831
"747",0.903917342622433
"748",0.902189867553573
"749",0.904698270524133
"750",0.905049036656976
"751",0.905703815514284
"752",0.903089155702377
"753",0.910602002427492
"754",0.913934711736347
"755",0.914096296976086
"756",0.915307436094877
"757",0.915488922211828
"758",0.916579637001735
"759",0.916347430112201
"760",0.91591388299201
"761",0.915809525679842
"762",0.916078035028843
"763",0.914337217738184
"764",0.915038965584985
"765",0.91514228898919
"766",0.915670118910464
"767",0.917020101521199
"768",0.914556667689418
"769",0.914406750244442
"770",0.91433707851497
"771",0.914702986193297
"772",0.914689990884718
"773",0.91176165291619
"774",0.910064065832464
"775",0.911087303051737
"776",0.91927418656168
"777",0.916584430058741
"778",0.917402538160542
"779",0.918297555198504
"780",0.917253220192663
"781",0.917046890961168
"782",0.91696683713309
"783",0.916902421738308
