"","simfin_id","ticker","fiscal_period","fiscal_year","report_date","publish_date","restated_date","source","ttm","value_check","currency","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","unbilled_revenues","inventories","raw_materials","work_in_process","finished_goods","other_inventory","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","assets_held_for_sale","deferred_tax_assets_short_term","income_taxes_receivable","discontinued_operations_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_investments","long_term_marketable_securities","long_term_receivables","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","prepaid_expense","deferred_tax_assets_long_term","derivative_hedging_assets_long_term","prepaid_pension_costs","discontinued_operations_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","short_term_capital_leases","current_portion_of_long_term_debt","other_short_term_liabilities","deferred_revenue_short_term","liabilities_from_derivatives_hedging_short_term","deferred_tax_liabilities_short_term","liabilities_from_discontinued_operations_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","long_term_capital_leases","other_long_term_liabilities","accrued_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_compensation","deferred_revenue_long_term","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","liabilities_from_discontinued_operations_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","other_share_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest","total_equity","total_liabilities_equity","time"
"1",378120,"COP","Q1",2015,2015-03-31,2015-05-05,2016-05-03,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516574165/0001193125-16-574165-index.htm",FALSE,TRUE,"USD",2.664e+09,2.664e+09,NA,5.246e+09,NA,NA,NA,1.233e+09,NA,NA,NA,NA,1.697e+09,1.564e+09,NA,NA,NA,NA,NA,1.33e+08,1.084e+10,7.422e+10,NA,NA,2.3224e+10,NA,NA,NA,1.758e+09,NA,NA,NA,NA,NA,NA,NA,NA,7.5e+08,1.008e+09,9.9202e+10,1.10042e+11,7.614e+09,6.706e+09,8.64e+08,NA,4.4e+07,1.93e+08,NA,NA,NA,1.756e+09,NA,NA,NA,NA,1.756e+09,9.563e+09,2.2318e+10,NA,NA,2.9153e+10,NA,2.979e+09,NA,NA,NA,NA,1.4042e+10,NA,NA,1.2132e+10,5.1471e+10,6.1034e+10,NA,4.6154e+10,1.8e+07,NA,4.6136e+10,-3.678e+10,4.3867e+10,-4.589e+09,4.8652e+10,3.56e+08,4.9008e+10,1.10042e+11,"2015q1"
"2",378120,"COP","Q2",2015,2015-06-30,2015-08-04,2016-08-02,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516667631/0001193125-16-667631-index.htm",FALSE,TRUE,"USD",3.813e+09,3.813e+09,NA,5.044e+09,NA,NA,NA,1.277e+09,NA,NA,NA,NA,1.81e+09,1.675e+09,NA,NA,NA,NA,NA,1.35e+08,1.1944e+10,7.4387e+10,NA,NA,2.3902e+10,NA,NA,NA,1.77e+09,NA,NA,NA,NA,NA,NA,NA,NA,7.5e+08,1.02e+09,1.00059e+11,1.12003e+11,6.749e+09,5.833e+09,8.8e+08,NA,3.6e+07,1.38e+08,NA,NA,NA,1.847e+09,NA,NA,NA,NA,1.847e+09,8.734e+09,2.4787e+10,NA,NA,2.9513e+10,NA,2.849e+09,NA,NA,NA,NA,1.4373e+10,NA,NA,1.2291e+10,5.43e+10,6.3034e+10,NA,4.6262e+10,1.8e+07,NA,4.6244e+10,-3.678e+10,4.2779e+10,-3.641e+09,4.862e+10,3.49e+08,4.8969e+10,1.12003e+11,"2015q2"
"3",378120,"COP","Q3",2015,2015-09-30,2015-11-03,2016-11-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516754694/0001193125-16-754694-index.htm",FALSE,TRUE,"USD",2.413e+09,2.413e+09,NA,4.332e+09,NA,NA,NA,1.143e+09,NA,NA,NA,NA,1.776e+09,1.644e+09,NA,NA,NA,NA,NA,1.32e+08,9.664e+09,7.1828e+10,NA,NA,2.2806e+10,NA,NA,NA,1.651e+09,NA,NA,NA,NA,NA,NA,NA,NA,6.96e+08,9.55e+08,9.6285e+10,1.05949e+11,5.87e+09,5.173e+09,6.59e+08,NA,3.8e+07,1.75e+08,NA,NA,NA,2.242e+09,NA,NA,NA,NA,2.242e+09,8.287e+09,2.4716e+10,NA,NA,2.8391e+10,NA,2.864e+09,NA,NA,NA,NA,1.3317e+10,NA,NA,1.221e+10,5.3107e+10,6.1394e+10,NA,4.6329e+10,1.8e+07,NA,4.6311e+10,-3.678e+10,4.0786e+10,-6.125e+09,4.421e+10,3.45e+08,4.4555e+10,1.05949e+11,"2015q3"
"4",378120,"COP","Q4",2015,2015-12-31,2016-02-23,2018-02-20,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518049729/0001193125-18-049729-index.htm",FALSE,TRUE,"USD",2.368e+09,2.368e+09,NA,4.314e+09,NA,NA,NA,1.124e+09,NA,NA,NA,NA,9.83e+08,7.83e+08,NA,NA,NA,NA,NA,2e+08,8.789e+09,6.6446e+10,NA,NA,2.049e+10,NA,NA,NA,1.759e+09,NA,NA,NA,NA,NA,NA,NA,NA,6.96e+08,1.063e+09,8.8695e+10,9.7484e+10,5.432e+09,4.895e+09,4.99e+08,NA,3.8e+07,1.427e+09,NA,NA,NA,2.397e+09,NA,NA,NA,NA,2.397e+09,9.256e+09,2.3453e+10,NA,NA,2.4693e+10,NA,2.286e+09,NA,NA,NA,NA,1.0999e+10,NA,NA,1.1408e+10,4.8146e+10,5.7402e+10,NA,4.6375e+10,1.8e+07,NA,4.6357e+10,-3.678e+10,3.6414e+10,-6.247e+09,3.9762e+10,3.2e+08,4.0082e+10,9.7484e+10,"2015q4"
"5",378120,"COP","Q1",2016,2016-03-31,2016-05-03,2017-05-04,"http://www.sec.gov/Archives/edgar/data/1163165/000119312517158717/0001193125-17-158717-index.htm",FALSE,TRUE,"USD",5.173e+09,4.866e+09,3.07e+08,3.753e+09,NA,NA,NA,1.072e+09,NA,NA,NA,NA,9.36e+08,7.35e+08,NA,NA,NA,NA,NA,2.01e+08,1.0934e+10,6.6e+10,NA,NA,2.1167e+10,NA,NA,NA,1.733e+09,NA,NA,NA,NA,NA,NA,NA,NA,6.39e+08,1.094e+09,8.89e+10,9.9834e+10,4.866e+09,4.088e+09,7.01e+08,NA,7.7e+07,2.079e+09,NA,NA,NA,1.88e+09,NA,NA,NA,NA,1.88e+09,8.825e+09,2.7376e+10,NA,NA,2.4226e+10,NA,2.493e+09,NA,NA,NA,NA,1.0332e+10,NA,NA,1.1401e+10,5.1602e+10,6.0427e+10,NA,4.6383e+10,1.8e+07,NA,4.6365e+10,-3.678e+10,3.4632e+10,-5.146e+09,3.9089e+10,3.18e+08,3.9407e+10,9.9834e+10,"2016q1"
"6",378120,"COP","Q2",2016,2016-06-30,2016-08-02,2017-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312517243345/0001193125-17-243345-index.htm",FALSE,TRUE,"USD",4.152e+09,2.863e+09,1.289e+09,3.144e+09,NA,NA,NA,1.15e+09,NA,NA,NA,NA,8.13e+08,6.41e+08,NA,NA,NA,NA,NA,1.72e+08,9.259e+09,6.3685e+10,NA,NA,2.1385e+10,NA,NA,NA,1.725e+09,NA,NA,NA,NA,NA,NA,NA,NA,6.39e+08,1.086e+09,8.6795e+10,9.6054e+10,4.372e+09,3.746e+09,5.54e+08,NA,7.2e+07,1.331e+09,NA,NA,NA,1.645e+09,NA,NA,NA,NA,1.645e+09,7.348e+09,2.7346e+10,NA,NA,2.3529e+10,NA,2.533e+09,NA,NA,NA,NA,9.655e+09,NA,NA,1.1341e+10,5.0875e+10,5.8223e+10,NA,4.6447e+10,1.8e+07,NA,4.6429e+10,-3.678e+10,3.3248e+10,-5.371e+09,3.7544e+10,2.87e+08,3.7831e+10,9.6054e+10,"2016q2"
"7",378120,"COP","Q3",2016,2016-09-30,2016-11-01,2016-11-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516754694/0001193125-16-754694-index.htm",FALSE,TRUE,"USD",4.324e+09,4.09e+09,2.34e+08,3.163e+09,NA,NA,NA,1.108e+09,NA,NA,NA,NA,1.046e+09,8.89e+08,NA,NA,NA,NA,NA,1.57e+08,9.641e+09,6.1649e+10,NA,NA,2.1283e+10,NA,NA,NA,1.711e+09,NA,NA,NA,NA,NA,NA,NA,NA,5.81e+08,1.13e+09,8.4643e+10,9.4284e+10,4.145e+09,3.686e+09,3.94e+08,NA,6.5e+07,1.336e+09,NA,NA,NA,2.056e+09,NA,NA,NA,NA,2.056e+09,7.537e+09,2.7353e+10,NA,NA,2.2938e+10,NA,2.471e+09,NA,NA,NA,NA,9.034e+09,NA,NA,1.1433e+10,5.0291e+10,5.7828e+10,NA,4.6498e+10,1.8e+07,NA,4.648e+10,-3.678e+10,3.1896e+10,-5.444e+09,3.617e+10,2.86e+08,3.6456e+10,9.4284e+10,"2016q3"
"8",378120,"COP","Q4",2016,2016-12-31,2017-02-21,2019-02-19,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/0001193125-19-043841-index.htm",FALSE,TRUE,"USD",3.66e+09,3.61e+09,5e+07,3.249e+09,3.249e+09,NA,NA,1.018e+09,NA,NA,NA,NA,6.82e+08,5.17e+08,NA,NA,NA,NA,NA,1.65e+08,8.609e+09,5.8331e+10,NA,NA,2.1091e+10,NA,NA,NA,1.741e+09,NA,NA,NA,NA,NA,NA,NA,NA,5.81e+08,1.16e+09,8.1163e+10,8.9772e+10,4.137e+09,3.631e+09,4.84e+08,NA,2.2e+07,1.089e+09,NA,NA,NA,1.683e+09,NA,NA,NA,NA,1.683e+09,6.909e+09,2.6186e+10,NA,NA,2.1451e+10,NA,2.552e+09,NA,NA,NA,NA,8.949e+09,NA,NA,9.95e+09,4.7637e+10,5.4546e+10,NA,4.6525e+10,1.8e+07,NA,4.6507e+10,-3.6906e+10,3.1548e+10,-6.193e+09,3.4974e+10,2.52e+08,3.5226e+10,8.9772e+10,"2016q4"
"9",378120,"COP","Q1",2017,2017-03-31,2017-05-04,2018-05-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/0001193125-18-145507-index.htm",FALSE,TRUE,"USD",3.361e+09,3.109e+09,2.52e+08,3.105e+09,NA,NA,NA,1.097e+09,NA,NA,NA,NA,3.165e+09,2.911e+09,NA,NA,NA,NA,NA,2.54e+08,1.0728e+10,5.444e+10,NA,NA,2.1153e+10,NA,NA,NA,1.652e+09,NA,NA,NA,NA,NA,NA,NA,NA,5.22e+08,1.13e+09,7.7245e+10,8.7973e+10,4.287e+09,3.494e+09,7.56e+08,NA,3.7e+07,1.095e+09,NA,NA,NA,2.144e+09,NA,NA,NA,NA,2.144e+09,7.526e+09,2.534e+10,NA,NA,1.9506e+10,NA,2.534e+09,NA,NA,NA,NA,7.568e+09,NA,NA,9.404e+09,4.4846e+10,5.2372e+10,NA,4.6528e+10,1.8e+07,NA,4.651e+10,-3.7018e+10,3.1804e+10,-5.961e+09,3.5353e+10,2.48e+08,3.5601e+10,8.7973e+10,"2017q1"
"10",378120,"COP","Q2",2017,2017-06-30,2017-08-01,2018-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518233667/0001193125-18-233667-index.htm",FALSE,TRUE,"USD",1.18e+10,7.534e+09,4.266e+09,3.02e+09,NA,NA,NA,1.019e+09,NA,NA,NA,NA,4.04e+09,3.897e+09,NA,NA,NA,NA,NA,1.43e+08,1.9879e+10,4.6846e+10,NA,NA,9.681e+09,NA,NA,NA,1.598e+09,NA,NA,NA,NA,NA,NA,NA,NA,5.22e+08,1.076e+09,5.8125e+10,7.8004e+10,4.225e+09,3.401e+09,7.91e+08,NA,3.3e+07,3.798e+09,NA,NA,NA,1.903e+09,NA,NA,NA,NA,1.903e+09,9.926e+09,1.967e+10,NA,NA,1.7909e+10,NA,2.499e+09,NA,NA,NA,NA,6.335e+09,NA,NA,9.075e+09,3.7579e+10,4.7505e+10,NA,4.6576e+10,1.8e+07,NA,4.6558e+10,-3.7981e+10,2.8033e+10,-6.342e+09,3.0286e+10,2.13e+08,3.0499e+10,7.8004e+10,"2017q2"
"11",378120,"COP","Q3",2017,2017-09-30,2017-10-31,2018-10-30,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518311600/0001193125-18-311600-index.htm",FALSE,TRUE,"USD",1.1691e+10,6.911e+09,4.78e+09,3.222e+09,NA,NA,NA,1.023e+09,NA,NA,NA,NA,1.018e+09,8.76e+08,NA,NA,NA,NA,NA,1.42e+08,1.6954e+10,4.6669e+10,NA,NA,9.696e+09,NA,NA,NA,1.542e+09,NA,NA,NA,NA,NA,NA,NA,NA,4.61e+08,1.081e+09,5.7907e+10,7.4861e+10,4.421e+09,3.378e+09,1.005e+09,NA,3.8e+07,1.331e+09,NA,NA,NA,1.379e+09,NA,NA,NA,NA,1.379e+09,7.131e+09,1.9673e+10,NA,NA,1.7345e+10,NA,1.903e+09,NA,NA,NA,NA,6.262e+09,NA,NA,9.18e+09,3.7018e+10,4.4149e+10,NA,4.6613e+10,1.8e+07,NA,4.6595e+10,-3.8951e+10,2.813e+10,-5.292e+09,3.05e+10,2.12e+08,3.0712e+10,7.4861e+10,"2017q3"
"12",378120,"COP","Q4",2017,2017-12-31,2018-02-20,2018-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518233667/0001193125-18-233667-index.htm",FALSE,TRUE,"USD",1.0097e+10,6.325e+09,3.772e+09,4.179e+09,NA,NA,NA,1.06e+09,NA,NA,NA,NA,1.176e+09,1.035e+09,NA,NA,NA,NA,NA,1.41e+08,1.6512e+10,4.5683e+10,NA,NA,9.599e+09,NA,NA,NA,1.568e+09,NA,NA,NA,NA,NA,NA,NA,NA,4.61e+08,1.107e+09,5.685e+10,7.3362e+10,5.068e+09,4.009e+09,1.038e+09,NA,2.1e+07,2.575e+09,NA,NA,NA,1.754e+09,NA,NA,NA,NA,1.754e+09,9.397e+09,1.7128e+10,NA,NA,1.6036e+10,NA,1.854e+09,NA,NA,NA,NA,5.282e+09,NA,NA,8.9e+09,3.3164e+10,4.2561e+10,NA,4.664e+10,1.8e+07,NA,4.6622e+10,-3.9906e+10,2.9391e+10,-5.518e+09,3.0607e+10,1.94e+08,3.0801e+10,7.3362e+10,"2017q4"
"13",378120,"COP","Q1",2018,2018-03-31,2018-05-01,2018-05-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/0001193125-18-145507-index.htm",FALSE,TRUE,"USD",7.048e+09,4.984e+09,2.064e+09,4.032e+09,NA,NA,NA,1.053e+09,NA,NA,NA,NA,1.054e+09,8.94e+08,NA,NA,NA,NA,NA,1.6e+08,1.3187e+10,4.5997e+10,NA,NA,9.572e+09,NA,NA,NA,1.971e+09,NA,NA,NA,NA,NA,NA,NA,NA,3.99e+08,1.572e+09,5.754e+10,7.0727e+10,5.227e+09,3.824e+09,1.341e+09,NA,6.2e+07,3.37e+08,NA,NA,NA,1.545e+09,NA,NA,NA,NA,1.545e+09,7.109e+09,1.6709e+10,NA,NA,1.6191e+10,NA,1.832e+09,NA,NA,NA,NA,5.409e+09,NA,NA,8.95e+09,3.29e+10,4.0009e+10,NA,4.666e+10,1.8e+07,NA,4.6642e+10,-4.0406e+10,2.9663e+10,-5.371e+09,3.0546e+10,1.72e+08,3.0718e+10,7.0727e+10,"2018q1"
"14",378120,"COP","Q2",2018,2018-06-30,2018-08-01,2018-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518233667/0001193125-18-233667-index.htm",FALSE,TRUE,"USD",6.005e+09,3.234e+09,2.771e+09,3.75e+09,NA,NA,NA,1.093e+09,NA,NA,NA,NA,7.6e+08,5.8e+08,NA,NA,NA,NA,NA,1.8e+08,1.1608e+10,4.6306e+10,NA,NA,9.435e+09,NA,NA,NA,1.587e+09,NA,NA,NA,NA,NA,NA,NA,NA,3.99e+08,1.188e+09,5.7328e+10,6.8936e+10,4.967e+09,3.642e+09,1.301e+09,NA,2.4e+07,8.9e+07,NA,NA,NA,1.582e+09,NA,NA,NA,NA,1.582e+09,6.638e+09,1.4885e+10,NA,NA,1.6191e+10,NA,1.774e+09,NA,NA,NA,NA,5.534e+09,NA,NA,8.883e+09,3.1076e+10,3.7714e+10,NA,4.6764e+10,1.8e+07,NA,4.6746e+10,-4.1052e+10,3.0967e+10,-5.637e+09,3.1042e+10,1.8e+08,3.1222e+10,6.8936e+10,"2018q2"
"15",378120,"COP","Q3",2018,2018-09-30,2018-10-30,2018-10-30,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518311600/0001193125-18-311600-index.htm",FALSE,TRUE,"USD",6.677e+09,3.716e+09,2.961e+09,4.319e+09,NA,NA,NA,1.239e+09,NA,NA,NA,NA,2.488e+09,2.308e+09,NA,NA,NA,NA,NA,1.8e+08,1.4723e+10,4.4736e+10,NA,NA,9.553e+09,NA,NA,NA,1.544e+09,NA,NA,NA,NA,NA,NA,NA,NA,3.35e+08,1.209e+09,5.5833e+10,7.0556e+10,5.5e+09,3.887e+09,1.582e+09,NA,3.1e+07,9.5e+07,NA,NA,NA,1.806e+09,NA,NA,NA,NA,1.806e+09,7.401e+09,1.4902e+10,NA,NA,1.6174e+10,NA,1.755e+09,NA,NA,NA,NA,5.535e+09,NA,NA,8.884e+09,3.1076e+10,3.8477e+10,NA,4.6876e+10,1.8e+07,NA,4.6858e+10,-4.1979e+10,3.2495e+10,-5.442e+09,3.195e+10,1.29e+08,3.2079e+10,7.0556e+10,"2018q3"
"16",378120,"COP","Q4",2018,2018-12-31,2019-02-19,2019-02-19,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/0001193125-18-145507-index.htm",FALSE,TRUE,"USD",7.625e+09,5.915e+09,1.71e+09,3.92e+09,NA,NA,NA,1.007e+09,NA,NA,NA,NA,7.22e+08,5.75e+08,NA,NA,NA,NA,NA,1.47e+08,1.3274e+10,4.5698e+10,NA,NA,9.329e+09,NA,NA,NA,1.679e+09,NA,NA,NA,NA,NA,NA,NA,NA,3.35e+08,1.344e+09,5.6706e+10,6.998e+10,5.215e+09,3.863e+09,1.32e+09,NA,3.2e+07,1.12e+08,NA,NA,NA,2.068e+09,NA,NA,NA,NA,2.068e+09,7.395e+09,1.4856e+10,NA,NA,1.5665e+10,NA,1.764e+09,NA,NA,NA,NA,5.021e+09,NA,NA,8.88e+09,3.0521e+10,3.7916e+10,NA,4.6897e+10,1.8e+07,NA,4.6879e+10,-4.2905e+10,3.401e+10,-6.063e+09,3.1939e+10,1.25e+08,3.2064e+10,6.998e+10,"2018q4"
"17",378120,"COP","Q1",2019,2019-03-31,2019-05-02,2019-05-02,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519134334/0001193125-19-134334-index.htm",FALSE,TRUE,"USD",6.467e+09,6.218e+09,2.49e+08,3.701e+09,NA,NA,NA,1.014e+09,NA,NA,NA,NA,2.501e+09,5.28e+08,NA,NA,NA,NA,NA,1.973e+09,1.3683e+10,4.5942e+10,NA,NA,9.302e+09,NA,NA,NA,2.571e+09,NA,NA,NA,NA,NA,NA,NA,NA,2.68e+08,2.303e+09,5.7815e+10,7.1498e+10,5.385e+09,3.815e+09,1.539e+09,NA,3.1e+07,1.13e+08,NA,NA,NA,1.872e+09,NA,NA,NA,NA,1.872e+09,7.37e+09,1.4832e+10,NA,NA,1.6315e+10,NA,1.704e+09,NA,NA,NA,NA,5.043e+09,NA,NA,9.568e+09,3.1147e+10,3.8517e+10,NA,4.6895e+10,1.8e+07,NA,4.6877e+10,-4.3656e+10,3.5534e+10,-5.914e+09,3.2859e+10,1.22e+08,3.2981e+10,7.1498e+10,"2019q1"
"18",378120,"COP","Q2",2019,2019-06-30,2019-08-01,2019-08-01,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519210077/0001193125-19-210077-index.htm",FALSE,TRUE,"USD",6.673e+09,5.941e+09,7.32e+08,3.49e+09,NA,NA,NA,1.089e+09,NA,NA,NA,NA,4.548e+09,2.552e+09,NA,NA,NA,NA,NA,1.996e+09,1.58e+10,4.4334e+10,NA,NA,8.748e+09,NA,NA,NA,2.379e+09,NA,NA,NA,NA,NA,NA,NA,NA,2.68e+08,2.111e+09,5.5461e+10,7.1261e+10,4.848e+09,3.618e+09,1.213e+09,NA,1.7e+07,1.14e+08,NA,NA,NA,4.034e+09,NA,NA,NA,NA,4.034e+09,8.996e+09,1.4809e+10,NA,NA,1.4382e+10,NA,1.689e+09,NA,NA,NA,NA,4.825e+09,NA,NA,7.868e+09,2.9191e+10,3.8187e+10,NA,4.694e+10,1.8e+07,NA,4.6922e+10,-4.4906e+10,3.6769e+10,-5.827e+09,3.2976e+10,9.8e+07,3.3074e+10,7.1261e+10,"2019q2"
"19",378120,"COP","Q3",2019,2019-09-30,2019-10-31,2020-11-16,"https://simfin.com/pdf-extractor/74007/4",FALSE,TRUE,"USD",8.101e+09,7.193e+09,9.08e+08,3.478e+09,NA,NA,NA,9.55e+08,NA,NA,NA,NA,2.683e+09,5.94e+08,NA,NA,NA,NA,NA,2.089e+09,1.5217e+10,4.3814e+10,NA,NA,8.916e+09,NA,NA,NA,2.393e+09,NA,NA,NA,NA,NA,NA,NA,NA,2.19e+08,2.174e+09,5.5123e+10,7.034e+10,4.248e+09,3.148e+09,1.077e+09,NA,2.3e+07,1.21e+08,NA,NA,NA,1.573e+09,NA,NA,NA,NA,1.573e+09,5.942e+09,1.4799e+10,NA,NA,1.436e+10,NA,1.786e+09,NA,NA,NA,NA,4.693e+09,NA,NA,7.881e+09,2.9159e+10,3.5101e+10,NA,4.6972e+10,1.8e+07,NA,4.6954e+10,-4.5656e+10,3.9484e+10,-5.654e+09,3.5146e+10,9.3e+07,3.5239e+10,7.034e+10,"2019q3"
"20",378120,"COP","Q4",2019,2019-12-31,2020-02-18,2020-11-16,"https://simfin.com/pdf-extractor/74007/4",FALSE,TRUE,"USD",8.116e+09,5.088e+09,3.028e+09,3.267e+09,NA,NA,NA,1.026e+09,NA,NA,NA,NA,4.504e+09,2.259e+09,NA,NA,NA,NA,NA,2.245e+09,1.6913e+10,4.2269e+10,NA,NA,8.687e+09,NA,NA,NA,2.645e+09,NA,NA,NA,NA,NA,NA,NA,NA,2.19e+08,2.426e+09,5.3601e+10,7.0514e+10,4.23e+09,3.176e+09,1.03e+09,NA,2.4e+07,1.05e+08,NA,NA,NA,2.708e+09,NA,NA,NA,NA,2.708e+09,7.043e+09,1.479e+10,NA,NA,1.3631e+10,NA,1.781e+09,NA,NA,NA,NA,4.634e+09,NA,NA,7.216e+09,2.8421e+10,3.5464e+10,NA,4.7001e+10,1.8e+07,NA,4.6983e+10,-4.6405e+10,3.9742e+10,-5.357e+09,3.4981e+10,6.9e+07,3.505e+10,7.0514e+10,"2019q4"
"21",378120,"COP","Q1",2020,2020-03-31,2020-05-05,2021-05-16,"https://simfin.com/pdf-extractor/74006/4",FALSE,TRUE,"USD",7.774e+09,3.908e+09,3.866e+09,2.116e+09,NA,NA,NA,7.26e+08,NA,NA,NA,NA,2.528e+09,1.96e+09,NA,NA,NA,NA,NA,5.68e+08,1.3144e+10,4.0645e+10,NA,NA,8.707e+09,NA,NA,NA,2.537e+09,NA,NA,NA,NA,NA,NA,NA,NA,1.67e+08,2.37e+09,5.1889e+10,6.5033e+10,3.774e+09,2.9e+09,8.53e+08,NA,2.1e+07,1.26e+08,NA,NA,NA,2.175e+09,NA,NA,NA,NA,2.175e+09,6.075e+09,1.4847e+10,NA,NA,1.2724e+10,NA,1.563e+09,NA,NA,NA,NA,4.141e+09,NA,NA,7.02e+09,2.7571e+10,3.3646e+10,NA,4.7045e+10,1.8e+07,NA,4.7027e+10,-4.713e+10,3.7545e+10,-6.145e+09,3.1315e+10,7.2e+07,3.1387e+10,6.5033e+10,"2020q1"
"22",378120,"COP","Q2",2020,2020-06-30,2020-08-04,2021-08-16,"https://simfin.com/pdf-extractor/74038/4",FALSE,TRUE,"USD",6.892e+09,2.907e+09,3.985e+09,1.399e+09,NA,NA,NA,9.82e+08,NA,NA,NA,NA,1.78e+09,6.76e+08,NA,NA,NA,NA,NA,1.104e+09,1.1053e+10,4.112e+10,NA,NA,8.334e+09,NA,NA,NA,2.539e+09,NA,NA,NA,NA,NA,NA,NA,NA,1.67e+08,2.372e+09,5.1993e+10,6.3046e+10,2.392e+09,2.06e+09,3.12e+08,NA,2e+07,1.46e+08,NA,NA,NA,1.567e+09,NA,NA,NA,NA,1.567e+09,4.105e+09,1.4852e+10,NA,NA,1.2596e+10,NA,1.586e+09,NA,NA,NA,NA,3.901e+09,NA,NA,7.109e+09,2.7448e+10,3.1553e+10,NA,4.7097e+10,1.8e+07,NA,4.7079e+10,-4.713e+10,3.7351e+10,-5.825e+09,3.1493e+10,0,3.1493e+10,6.3046e+10,"2020q2"
"23",378120,"COP","Q3",2020,2020-09-30,2020-11-03,2021-11-16,"https://simfin.com/pdf-extractor/74069/4",FALSE,TRUE,"USD",6.522e+09,2.49e+09,4.032e+09,1.984e+09,NA,NA,NA,1.034e+09,NA,NA,NA,NA,1.519e+09,5.75e+08,NA,NA,NA,NA,NA,9.44e+08,1.1059e+10,4.1269e+10,NA,NA,8.295e+09,NA,NA,NA,2.534e+09,NA,NA,NA,NA,NA,NA,NA,NA,1.14e+08,2.42e+09,5.2098e+10,6.3157e+10,2.578e+09,2.217e+09,3.39e+08,NA,2.2e+07,4.82e+08,NA,NA,NA,1.58e+09,NA,NA,NA,NA,1.58e+09,4.64e+09,1.4905e+10,NA,NA,1.2829e+10,NA,1.661e+09,NA,NA,NA,NA,3.854e+09,NA,NA,7.314e+09,2.7734e+10,3.2374e+10,NA,4.7131e+10,1.8e+07,NA,4.7113e+10,-4.713e+10,3.6448e+10,-5.666e+09,3.0783e+10,NA,3.0783e+10,6.3157e+10,"2020q3"
"24",378120,"COP","Q4",2020,2020-12-31,2021-02-16,2021-05-16,"https://simfin.com/pdf-extractor/74006/4",FALSE,TRUE,"USD",6.6e+09,2.991e+09,3.609e+09,2.634e+09,NA,NA,NA,1.002e+09,NA,NA,NA,NA,1.83e+09,4.54e+08,NA,NA,NA,NA,NA,1.376e+09,1.2066e+10,3.9893e+10,NA,NA,8.017e+09,NA,NA,NA,2.642e+09,NA,NA,NA,NA,NA,NA,NA,NA,1.14e+08,2.528e+09,5.0552e+10,6.2618e+10,4.747e+09,2.669e+09,3.2e+08,NA,1.758e+09,6.19e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.366e+09,1.475e+10,NA,NA,1.2653e+10,NA,1.697e+09,NA,NA,NA,NA,3.747e+09,NA,NA,7.209e+09,2.7403e+10,3.2769e+10,NA,4.7151e+10,1.8e+07,NA,4.7133e+10,-4.7297e+10,3.5213e+10,-5.218e+09,2.9849e+10,NA,2.9849e+10,6.2618e+10,"2020q4"
