"","simfin_id","ticker","fiscal_period","fiscal_year","report_date","publish_date","restated_date","source","ttm","value_check","currency","net_income_starting_line","net_income","net_income_from_discontinued_operations","other_adjustments","depreciation_amortization","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","disposition_of_intangible_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","other_change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_divestitures","cash_for_acquisition_of_subsidiaries","cash_for_joint_ventures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_discontinued_operations_investing","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_discontinued_operations_financing","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","time"
"1",378120,"COP","Q1",2015,2015-03-31,2015-05-05,2016-05-03,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516574165/0001193125-16-574165-index.htm",FALSE,TRUE,"USD",2.86e+08,2.86e+08,0,0,2.131e+09,-2.94e+08,0,0,0,-5.5e+07,0,0,0,0,0,2.068e+09,-3.159e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.55e+08,0,-3.314e+09,-9.1e+08,-5.7e+07,0,0,0,0,-3.4e+07,0,0,-1.8e+07,0,-1.019e+09,-2.265e+09,0,-2.265e+09,-1.33e+08,-2.398e+09,"2015q1"
"2",378120,"COP","Q2",2015,2015-06-30,2015-08-04,2016-08-02,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516667631/0001193125-16-667631-index.htm",FALSE,TRUE,"USD",-1.64e+08,-1.64e+08,0,0,2.329e+09,1.43e+08,0,0,0,-3.34e+08,0,0,0,0,0,1.974e+09,-2.286e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8e+08,0,-2.466e+09,-9.09e+08,2.493e+09,0,0,0,0,-1.2e+07,0,0,-1.7e+07,0,1.555e+09,1.063e+09,0,1.063e+09,8.6e+07,1.149e+09,"2015q2"
"3",378120,"COP","Q3",2015,2015-09-30,2015-11-03,2016-11-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516754694/0001193125-16-754694-index.htm",FALSE,TRUE,"USD",-1.056e+09,-1.056e+09,0,0,2.271e+09,1.28e+08,0,0,0,5.91e+08,0,0,0,0,0,1.934e+09,-2.145e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04e+08,0,-2.249e+09,-9.22e+08,-3e+07,0,0,0,0,-2.3e+07,0,0,-1.5e+07,0,-9.9e+08,-1.305e+09,0,-1.305e+09,-9.5e+07,-1.4e+09,"2015q3"
"4",378120,"COP","Q4",2015,2015-12-31,2016-02-23,2018-02-20,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518049729/0001193125-18-049729-index.htm",FALSE,TRUE,"USD",-3.437e+09,-3.437e+09,0,0,2.382e+09,2.875e+09,0,0,0,-2.24e+08,0,0,0,0,0,1.596e+09,-5.08e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.18e+08,0,-6.26e+08,-9.23e+08,-1.1e+07,0,0,0,0,-1.3e+07,0,0,-2.8e+07,0,-9.75e+08,-5e+06,0,-5e+06,-4e+07,-4.5e+07,"2015q4"
"5",378120,"COP","Q1",2016,2016-03-31,2016-05-03,2017-05-04,"http://www.sec.gov/Archives/edgar/data/1163165/000119312517158717/0001193125-17-158717-index.htm",FALSE,TRUE,"USD",-1.456e+09,-1.456e+09,0,0,2.247e+09,-1.19e+08,0,0,0,-2.51e+08,0,0,0,0,0,4.21e+08,-1.686e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.79e+08,0,-2.065e+09,-3.13e+08,4.53e+09,0,0,0,0,-4.2e+07,0,0,-3.8e+07,0,4.137e+09,2.493e+09,0,2.493e+09,5e+06,2.498e+09,"2016q1"
"6",378120,"COP","Q2",2016,2016-06-30,2016-08-02,2017-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312517243345/0001193125-17-243345-index.htm",FALSE,TRUE,"USD",-1.058e+09,-1.058e+09,0,0,2.329e+09,-4.2e+07,0,0,0,3e+07,0,0,0,0,0,1.259e+09,-9.05e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.217e+09,0,-2.122e+09,-3.13e+08,-7.63e+08,0,0,0,0,-3e+06,0,0,-4.1e+07,0,-1.12e+09,-1.983e+09,0,-1.983e+09,-2e+07,-2.003e+09,"2016q2"
"7",378120,"COP","Q3",2016,2016-09-30,2016-11-01,2016-11-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516754694/0001193125-16-754694-index.htm",FALSE,TRUE,"USD",-1.026e+09,-1.026e+09,0,0,2.425e+09,-1.69e+08,0,0,0,5e+07,0,0,0,0,0,1.28e+09,-8.6e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.135e+09,0,2.75e+08,-3.14e+08,-1.2e+07,0,0,0,0,-7e+06,0,0,-1.4e+07,0,-3.47e+08,1.208e+09,0,1.208e+09,1.9e+07,1.227e+09,"2016q3"
"8",378120,"COP","Q4",2016,2016-12-31,2017-02-21,2019-02-19,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/0001193125-19-043841-index.htm",FALSE,TRUE,"USD",-1.9e+07,-1.9e+07,0,0,2.061e+09,-2.89e+08,0,0,0,-3.1e+08,0,0,0,0,0,1.443e+09,-1.32e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85e+08,0,5.3e+07,-3.13e+08,-1.412e+09,0,0,0,0,-1.37e+08,0,0,-4.4e+07,0,-1.906e+09,-4.1e+08,0,-4.1e+08,-7e+07,-4.8e+08,"2016q4"
"9",378120,"COP","Q1",2017,2017-03-31,2017-05-04,2018-05-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/0001193125-18-145507-index.htm",FALSE,TRUE,"USD",5.99e+08,5.99e+08,0,0,1.979e+09,-7.5e+08,0,0,0,-3.8e+07,0,0,0,0,0,1.79e+09,-9.31e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.3e+07,0,-9.74e+08,-3.31e+08,-8.39e+08,0,0,0,0,-1.58e+08,0,0,-1.6e+07,0,-1.344e+09,-5.28e+08,0,-5.28e+08,2.7e+07,-5.01e+08,"2017q1"
"10",378120,"COP","Q2",2017,2017-06-30,2017-08-01,2018-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518233667/0001193125-18-233667-index.htm",FALSE,TRUE,"USD",-3.426e+09,-3.426e+09,0,0,1.625e+09,3.442e+09,0,0,0,1.1e+08,0,0,0,0,0,1.751e+09,9.687e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49e+09,0,7.197e+09,-3.31e+08,-3.24e+09,0,0,0,0,-9.8e+08,0,0,-4.8e+07,0,-4.599e+09,4.349e+09,0,4.349e+09,7.6e+07,4.425e+09,"2017q2"
"11",378120,"COP","Q3",2017,2017-09-30,2017-10-31,2018-10-30,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518311600/0001193125-18-311600-index.htm",FALSE,TRUE,"USD",4.36e+08,4.36e+08,0,0,1.608e+09,-9.8e+08,0,0,0,-9e+06,0,0,0,0,0,1.055e+09,1.91e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8e+07,0,2.008e+09,-3.24e+08,-2.515e+09,0,0,0,0,-9.72e+08,0,0,-1.6e+07,0,-3.827e+09,-7.64e+08,0,-7.64e+08,1.41e+08,-6.23e+08,"2017q3"
"12",378120,"COP","Q4",2017,2017-12-31,2018-02-20,2018-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518233667/0001193125-18-233667-index.htm",FALSE,TRUE,"USD",1.598e+09,1.598e+09,0,0,1.633e+09,-7.02e+08,0,0,0,-4.8e+07,0,0,0,0,0,2.481e+09,-1.397e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28e+08,0,-4.69e+08,-3.19e+08,-1.282e+09,0,0,0,0,-9.53e+08,0,0,-3.2e+07,0,-2.586e+09,-5.74e+08,0,-5.74e+08,-1.2e+07,-5.86e+08,"2017q4"
"13",378120,"COP","Q1",2018,2018-03-31,2018-05-01,2018-05-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/0001193125-18-145507-index.htm",FALSE,TRUE,"USD",9e+08,9e+08,0,0,1.412e+09,1.73e+08,0,0,0,-8.6e+07,0,0,0,0,0,2.399e+09,-1.366e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.288e+09,0,-7.8e+07,-3.38e+08,-2.888e+09,0,0,0,0,-5.18e+08,0,0,-3.2e+07,0,-3.776e+09,-1.455e+09,0,-1.455e+09,1.25e+08,-1.33e+09,"2018q1"
"14",378120,"COP","Q2",2018,2018-06-30,2018-08-01,2018-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518233667/0001193125-18-233667-index.htm",FALSE,TRUE,"USD",1.654e+09,1.654e+09,0,0,1.438e+09,7.3e+07,0,0,0,1.77e+08,0,0,0,0,0,3.342e+09,-1.86e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.9e+07,0,-1.949e+09,-3.37e+08,-2.064e+09,0,0,0,0,-5.86e+08,0,0,-1.6e+07,0,-3.003e+09,-1.61e+09,0,-1.61e+09,-1.39e+08,-1.749e+09,"2018q2"
"15",378120,"COP","Q3",2018,2018-09-30,2018-10-30,2018-10-30,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518311600/0001193125-18-311600-index.htm",FALSE,TRUE,"USD",1.873e+09,1.873e+09,0,0,1.494e+09,9.4e+07,0,0,0,-5.1e+07,0,0,0,0,0,3.41e+09,-1.513e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.25e+08,0,-1.638e+09,-3.34e+08,-1.8e+07,0,0,0,0,-8.48e+08,0,0,-6.3e+07,0,-1.263e+09,5.09e+08,0,5.09e+08,-2.6e+07,4.83e+08,"2018q3"
"16",378120,"COP","Q4",2018,2018-12-31,2019-02-19,2019-02-19,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/0001193125-18-145507-index.htm",FALSE,TRUE,"USD",1.878e+09,1.878e+09,0,0,1.612e+09,-3.02e+08,0,0,0,5.95e+08,0,0,0,0,0,3.783e+09,-9.29e+08,0,0,0,0,0,0,0,1.62e+09,0,0,0,0,0,0,0,-8.69e+08,0,-1.78e+08,-3.54e+08,-2.5e+07,0,0,0,0,-9.26e+08,0,0,-1.2e+07,0,-1.317e+09,2.288e+09,0,2.288e+09,-7.7e+07,2.211e+09,"2018q4"
"17",378120,"COP","Q1",2019,2019-03-31,2019-05-02,2019-05-02,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519134334/0001193125-19-134334-index.htm",FALSE,TRUE,"USD",1.846e+09,1.846e+09,0,0,1.546e+09,-4.44e+08,0,0,0,-5.4e+07,0,0,0,0,0,2.894e+09,-1.495e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8e+07,0,-1.477e+09,-3.5e+08,-1.9e+07,0,0,0,0,-7.9e+08,0,0,-1.4e+07,0,-1.173e+09,2.44e+08,0,2.44e+08,7.5e+07,3.19e+08,"2019q1"
"18",378120,"COP","Q2",2019,2019-06-30,2019-08-01,2019-08-01,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519210077/0001193125-19-210077-index.htm",FALSE,TRUE,"USD",1.597e+09,1.597e+09,0,0,1.49e+09,3.35e+08,0,0,0,-5.31e+08,0,0,0,0,0,2.891e+09,-1.17e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.91e+08,0,-1.461e+09,-3.46e+08,-1.9e+07,0,0,0,0,-1.248e+09,0,0,-4.1e+07,0,-1.654e+09,-2.24e+08,0,-2.24e+08,-4.9e+07,-2.73e+08,"2019q2"
"19",378120,"COP","Q3",2019,2019-09-30,2019-10-31,2020-11-16,"https://simfin.com/pdf-extractor/74007/4",FALSE,TRUE,"USD",3.071e+09,3.071e+09,0,0,1.566e+09,-1.993e+09,0,0,0,-3.07e+08,0,0,0,0,0,2.337e+09,5.44e+08,0,0,0,0,0,0,0,-6.65e+08,0,0,0,0,0,0,0,2.71e+08,0,1.5e+08,-3.41e+08,-2.1e+07,0,0,0,0,-7.52e+08,0,0,-1.8e+07,0,-1.132e+09,1.355e+09,0,1.355e+09,-9.4e+07,1.261e+09,"2019q3"
"20",378120,"COP","Q4",2019,2019-12-31,2020-02-18,2020-11-16,"https://simfin.com/pdf-extractor/74007/4",FALSE,TRUE,"USD",7.43e+08,7.43e+08,0,0,1.488e+09,4.38e+08,0,0,0,3.13e+08,0,0,0,0,0,2.982e+09,-1.503e+09,0,0,0,0,0,0,0,-2.245e+09,0,0,0,0,0,0,0,-8.2e+07,0,-3.83e+09,-4.63e+08,-2.1e+07,0,0,0,0,-7.4e+08,0,0,-4.6e+07,0,-1.27e+09,-2.118e+09,0,-2.118e+09,2.2e+07,-2.096e+09,"2019q4"
"21",378120,"COP","Q1",2020,2020-03-31,2020-05-05,2021-05-16,"https://simfin.com/pdf-extractor/74006/4",FALSE,TRUE,"USD",-1.711e+09,-1.711e+09,0,0,1.411e+09,1.908e+09,0,0,0,4.97e+08,0,0,0,0,0,2.105e+09,-1.1e+09,0,0,0,0,0,0,0,-9.35e+08,0,0,0,0,0,0,0,1.03e+08,0,-1.932e+09,-4.58e+08,-2.4e+07,0,0,0,0,-7.24e+08,0,0,-2.4e+07,0,-1.23e+09,-1.057e+09,0,-1.057e+09,-1.22e+08,-1.179e+09,"2020q1"
"22",378120,"COP","Q2",2020,2020-06-30,2020-08-04,2021-08-16,"https://simfin.com/pdf-extractor/74038/4",FALSE,TRUE,"USD",2.78e+08,2.78e+08,0,0,1.158e+09,-7.6e+08,0,0,0,-5.19e+08,0,0,0,0,0,1.57e+08,-1.12e+08,0,0,0,0,0,0,0,-9.5e+07,0,0,0,0,0,0,0,-3.23e+08,0,-5.3e+08,-4.55e+08,-1.9e+08,0,0,0,0,0,0,0,-4e+06,0,-6.49e+08,-1.022e+09,0,-1.022e+09,2.9e+07,-9.93e+08,"2020q2"
"23",378120,"COP","Q3",2020,2020-09-30,2020-11-03,2020-11-16,"https://simfin.com/pdf-extractor/74007/4",FALSE,TRUE,"USD",-4.5e+08,-4.5e+08,0,0,1.411e+09,2.67e+08,0,0,0,-3.6e+08,0,0,0,0,0,8.68e+08,-1.133e+09,0,0,0,0,0,0,0,-5.9e+07,0,0,0,0,0,0,0,7.6e+07,0,-1.116e+09,-4.54e+08,2.8e+08,0,0,0,0,-4e+06,0,0,1e+06,0,-1.77e+08,-4.25e+08,0,-4.25e+08,3.1e+07,-3.94e+08,"2020q3"
"24",378120,"COP","Q4",2020,2020-12-31,2021-02-16,2021-05-16,"https://simfin.com/pdf-extractor/74006/4",FALSE,TRUE,"USD",-7.72e+08,-7.72e+08,0,0,1.541e+09,8.93e+08,0,0,0,1e+07,0,0,0,0,0,1.672e+09,-1.053e+09,0,0,0,0,0,0,0,4.31e+08,0,0,0,0,0,0,0,7.9e+07,0,-5.43e+08,-4.64e+08,-2e+07,0,0,0,0,-1.69e+08,0,0,1e+06,0,-6.52e+08,4.77e+08,0,4.77e+08,4.2e+07,5.19e+08,"2020q4"
